10:2:2:10 => [0, 2, 2, 2, 4, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0, 0, 2, 4, 2, 2, 0, 2, 0, 4, 4, 0, 4, 2, 2, 0, 2, 0, 2, 0, 2, 4, 2, 2, 4, 0, 4, 0, 4, 2, 4, 2, 2, 2, 4, 4, 2, 0, 4, 4, 2, 4, 0, 2, 2, 2, 4, 4, 2, 0, 4, 0, 2, 2, 2, 2, 4, 4, 0, 4, 4, 0, 4, 0, 4, 2, 4, 4, 2, 2, 2, 0, 0, 4, 0, 0, 4, 2, 2]-[4, 2, 2, 2, 0, 2, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 2, 4, 4, 2, 0, 2, 2, 4, 2, 4, 0, 0, 4, 0, 2, 2, 4, 2, 4, 2, 4, 2, 0, 2, 2, 0, 4, 0, 4, 0, 2, 0, 2, 2, 2, 0, 0, 2, 4, 0, 0, 2, 0, 4, 2, 2, 2, 0, 0, 2, 4, 0, 4, 2, 2, 2, 2, 0, 0, 4, 0, 0, 4, 0, 4, 0, 2, 0, 0, 2, 2, 2, 4, 4, 0, 4, 4, 0, 2, 2]
10:2:3:10 => [3, 3, 3, 3, 0, 6, 6, 0, 0, 3, 0, 0, 0, 6, 6, 3, 0, 6, 3, 0, 3, 3, 6, 3, 6, 6, 3, 0, 3, 6, 3, 6, 3, 6, 0, 6, 3, 3, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 6, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 6, 6, 0, 3, 0, 3, 3, 3, 6, 3, 0, 3, 6, 3, 0, 3, 3, 0, 3, 0, 0, 3, 0, 3, 6, 3, 6, 6, 3, 3, 0, 3, 3]-[3, 3, 3, 3, 6, 0, 0, 6, 6, 3, 6, 6, 6, 0, 0, 3, 6, 0, 3, 6, 3, 3, 0, 3, 0, 0, 3, 6, 3, 0, 3, 0, 3, 0, 6, 0, 3, 3, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 0, 6, 3, 3, 3, 3, 3, 6, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 0, 0, 6, 3, 6, 3, 3, 3, 0, 3, 6, 3, 0, 3, 6, 3, 3, 6, 3, 6, 6, 3, 6, 3, 0, 3, 0, 0, 3, 3, 6, 3, 3]
10:2:4:10 => [4, 0, 0, 4, 4, 4, 4, 0, 0, 0, 4, 8, 0, 0, 0, 0, 8, 8, 4, 4, 4, 0, 8, 4, 0, 0, 4, 8, 4, 0, 8, 4, 8, 0, 8, 4, 8, 8, 4, 0, 4, 4, 0, 4, 8, 0, 8, 4, 4, 4, 8, 8, 0, 8, 0, 8, 4, 4, 0, 8, 4, 8, 4, 4, 4, 0, 4, 0, 4, 4, 8, 4, 8, 4, 4, 4, 4, 4, 8, 4, 4, 0, 4, 4, 4, 0, 0, 4, 4, 4, 4, 4, 0, 4, 4, 0, 8, 4, 4, 0]-[4, 8, 8, 4, 4, 4, 4, 8, 8, 8, 4, 0, 8, 8, 8, 8, 0, 0, 4, 4, 4, 8, 0, 4, 8, 8, 4, 0, 4, 8, 0, 4, 0, 8, 0, 4, 0, 0, 4, 8, 4, 4, 8, 4, 0, 8, 0, 4, 4, 4, 0, 0, 8, 0, 8, 0, 4, 4, 8, 0, 4, 0, 4, 4, 4, 8, 4, 8, 4, 4, 0, 4, 0, 4, 4, 4, 4, 4, 0, 4, 4, 8, 4, 4, 4, 8, 8, 4, 4, 4, 4, 4, 8, 4, 4, 8, 0, 4, 4, 8]
10:2:5:10 => [5, 10, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 10, 5, 5, 10, 10, 10, 10, 0, 5, 5, 0, 5, 5, 5, 0, 5, 0, 0, 0, 5, 5, 0, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 0, 10, 5, 5, 5, 5, 10, 0, 5, 10, 10, 10, 5, 0, 5, 5, 10, 0, 0, 0, 10, 0, 0, 0, 5, 10, 5, 10, 5, 5, 10, 0, 0, 5, 5, 10, 5, 5, 5, 0, 5, 5, 5, 10, 5, 0, 10, 0, 0, 10, 0, 5, 5, 0, 5, 5]-[5, 0, 5, 5, 5, 5, 10, 5, 5, 5, 5, 5, 0, 5, 5, 0, 0, 0, 0, 10, 5, 5, 10, 5, 5, 5, 10, 5, 10, 10, 10, 5, 5, 10, 5, 5, 5, 5, 5, 10, 5, 5, 5, 5, 10, 0, 5, 5, 5, 5, 0, 10, 5, 0, 0, 0, 5, 10, 5, 5, 0, 10, 10, 10, 0, 10, 10, 10, 5, 0, 5, 0, 5, 5, 0, 10, 10, 5, 5, 0, 5, 5, 5, 10, 5, 5, 5, 0, 5, 10, 0, 10, 10, 0, 10, 5, 5, 10, 5, 5]
10:2:6:10 => [6, 0, 6, 6, 12, 6, 6, 6, 12, 12, 0, 6, 6, 6, 0, 12, 6, 12, 12, 6, 0, 6, 0, 0, 6, 0, 12, 0, 6, 0, 6, 6, 0, 6, 6, 12, 6, 6, 0, 0, 12, 6, 0, 6, 0, 6, 6, 12, 12, 6, 6, 6, 0, 6, 0, 0, 6, 12, 6, 12, 6, 12, 0, 12, 12, 6, 6, 6, 12, 6, 0, 12, 12, 0, 0, 6, 12, 6, 12, 12, 6, 6, 6, 0, 6, 6, 6, 6, 6, 12, 6, 0, 6, 6, 12, 0, 6, 6, 12, 6]-[6, 12, 6, 6, 0, 6, 6, 6, 0, 0, 12, 6, 6, 6, 12, 0, 6, 0, 0, 6, 12, 6, 12, 12, 6, 12, 0, 12, 6, 12, 6, 6, 12, 6, 6, 0, 6, 6, 12, 12, 0, 6, 12, 6, 12, 6, 6, 0, 0, 6, 6, 6, 12, 6, 12, 12, 6, 0, 6, 0, 6, 0, 12, 0, 0, 6, 6, 6, 0, 6, 12, 0, 0, 12, 12, 6, 0, 6, 0, 0, 6, 6, 6, 12, 6, 6, 6, 6, 6, 0, 6, 12, 6, 6, 0, 12, 6, 6, 0, 6]
10:2:7:10 => [14, 0, 7, 14, 14, 7, 14, 0, 7, 7, 14, 7, 7, 0, 7, 0, 0, 14, 7, 0, 7, 0, 7, 14, 7, 7, 7, 14, 7, 0, 14, 7, 7, 14, 7, 7, 14, 7, 14, 0, 7, 7, 14, 0, 7, 14, 7, 7, 14, 7, 0, 7, 7, 14, 7, 0, 7, 14, 7, 0, 0, 7, 7, 0, 14, 7, 0, 7, 7, 14, 7, 7, 7, 0, 7, 7, 14, 0, 7, 7, 14, 14, 7, 7, 14, 7, 0, 0, 14, 7, 7, 14, 7, 7, 0, 7, 14, 0, 14, 7]-[0, 14, 7, 0, 0, 7, 0, 14, 7, 7, 0, 7, 7, 14, 7, 14, 14, 0, 7, 14, 7, 14, 7, 0, 7, 7, 7, 0, 7, 14, 0, 7, 7, 0, 7, 7, 0, 7, 0, 14, 7, 7, 0, 14, 7, 0, 7, 7, 0, 7, 14, 7, 7, 0, 7, 14, 7, 0, 7, 14, 14, 7, 7, 14, 0, 7, 14, 7, 7, 0, 7, 7, 7, 14, 7, 7, 0, 14, 7, 7, 0, 0, 7, 7, 0, 7, 14, 14, 0, 7, 7, 0, 7, 7, 14, 7, 0, 14, 0, 7]
10:2:8:10 => [0, 8, 8, 8, 16, 0, 0, 8, 0, 8, 8, 0, 0, 8, 8, 16, 8, 16, 8, 8, 0, 8, 16, 0, 16, 8, 0, 8, 8, 0, 16, 8, 16, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 16, 8, 8, 8, 16, 16, 0, 0, 8, 8, 0, 8, 0, 8, 16, 8, 16, 0, 8, 8, 8, 16, 0, 16, 16, 8, 8, 0, 8, 8, 16, 8, 16, 16, 16, 8, 8, 8, 0, 8, 8, 8, 0, 0, 16, 16, 16, 8, 8, 0, 8, 8, 0, 16, 8, 8, 0]-[16, 8, 8, 8, 0, 16, 16, 8, 16, 8, 8, 16, 16, 8, 8, 0, 8, 0, 8, 8, 16, 8, 0, 16, 0, 8, 16, 8, 8, 16, 0, 8, 0, 8, 8, 16, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 8, 0, 0, 16, 16, 8, 8, 16, 8, 16, 8, 0, 8, 0, 16, 8, 8, 8, 0, 16, 0, 0, 8, 8, 16, 8, 8, 0, 8, 0, 0, 0, 8, 8, 8, 16, 8, 8, 8, 16, 16, 0, 0, 0, 8, 8, 16, 8, 8, 16, 0, 8, 8, 16]
10:2:9:10 => [9, 18, 9, 0, 18, 9, 18, 0, 0, 9, 18, 0, 0, 18, 0, 0, 0, 0, 9, 18, 18, 9, 18, 18, 9, 9, 18, 9, 9, 0, 18, 18, 9, 9, 0, 9, 0, 9, 0, 9, 0, 18, 18, 0, 9, 9, 18, 9, 0, 9, 18, 9, 18, 0, 0, 0, 18, 18, 9, 18, 0, 18, 0, 9, 9, 18, 18, 9, 18, 9, 0, 9, 9, 0, 18, 18, 9, 0, 0, 18, 18, 18, 18, 9, 9, 0, 0, 0, 9, 9, 9, 0, 18, 9, 18, 18, 0, 9, 9, 18]-[9, 0, 9, 18, 0, 9, 0, 18, 18, 9, 0, 18, 18, 0, 18, 18, 18, 18, 9, 0, 0, 9, 0, 0, 9, 9, 0, 9, 9, 18, 0, 0, 9, 9, 18, 9, 18, 9, 18, 9, 18, 0, 0, 18, 9, 9, 0, 9, 18, 9, 0, 9, 0, 18, 18, 18, 0, 0, 9, 0, 18, 0, 18, 9, 9, 0, 0, 9, 0, 9, 18, 9, 9, 18, 0, 0, 9, 18, 18, 0, 0, 0, 0, 9, 9, 18, 18, 18, 9, 9, 9, 18, 0, 9, 0, 0, 18, 9, 9, 0]
10:2:10:10 => [20, 10, 20, 20, 20, 10, 20, 20, 10, 0, 0, 20, 20, 10, 20, 10, 20, 20, 10, 0, 0, 10, 20, 0, 0, 20, 10, 20, 20, 20, 10, 10, 10, 10, 10, 10, 0, 20, 20, 10, 10, 10, 10, 20, 10, 20, 0, 10, 10, 10, 20, 0, 10, 10, 10, 20, 20, 10, 10, 10, 10, 0, 10, 0, 10, 20, 0, 10, 10, 0, 10, 20, 0, 10, 10, 10, 10, 20, 10, 10, 0, 10, 10, 10, 10, 20, 10, 10, 10, 10, 20, 20, 10, 0, 0, 20, 10, 20, 10, 0]-[0, 10, 0, 0, 0, 10, 0, 0, 10, 20, 20, 0, 0, 10, 0, 10, 0, 0, 10, 20, 20, 10, 0, 20, 20, 0, 10, 0, 0, 0, 10, 10, 10, 10, 10, 10, 20, 0, 0, 10, 10, 10, 10, 0, 10, 0, 20, 10, 10, 10, 0, 20, 10, 10, 10, 0, 0, 10, 10, 10, 10, 20, 10, 20, 10, 0, 20, 10, 10, 20, 10, 0, 20, 10, 10, 10, 10, 0, 10, 10, 20, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 0, 10, 20, 20, 0, 10, 0, 10, 20]
10:3:2:10 => [2, 0, 4, 4, 4, 6, 4, 2, 4, 4, 6, 2, 4, 2, 4, 2, 4, 0, 2, 2, 4, 0, 4, 2, 2, 2, 4, 6, 2, 2, 4, 4, 2, 2, 2, 4, 2, 2, 4, 4, 4, 2, 4, 4, 2, 4, 4, 2, 4, 2, 4, 4, 2, 4, 6, 4, 4, 2, 4, 2, 0, 4, 6, 4, 4, 6, 4, 4, 0, 2, 6, 2, 4, 0, 2, 4, 2, 4, 2, 4, 4, 4, 6, 2, 2, 4, 4, 4, 4, 6, 4, 4, 2, 4, 6, 2, 6, 4, 4, 4]-[4, 6, 2, 2, 2, 0, 2, 4, 2, 2, 0, 4, 2, 4, 2, 4, 2, 6, 4, 4, 2, 6, 2, 4, 4, 4, 2, 0, 4, 4, 2, 2, 4, 4, 4, 2, 4, 4, 2, 2, 2, 4, 2, 2, 4, 2, 2, 4, 2, 4, 2, 2, 4, 2, 0, 2, 2, 4, 2, 4, 6, 2, 0, 2, 2, 0, 2, 2, 6, 4, 0, 4, 2, 6, 4, 2, 4, 2, 4, 2, 2, 2, 0, 4, 4, 2, 2, 2, 2, 0, 2, 2, 4, 2, 0, 4, 0, 2, 2, 2]
